,Actb,Gadph,Metabolic process,#Detected Genes,Mapping rate
ola_mES_2i_1_76.counts,0.007049025,0.000106281,0.028526086,10906,0.823893737
ola_mES_2i_1_77.counts,0.007407091,5.91E-05,0.022366459,12683,0.773949973
ola_mES_2i_1_78.counts,0.006993745,0.000101477,0.020896671,13552,0.786564161
ola_mES_2i_1_79.counts,0.005595901,0.000137035,0.023965254,13295,0.801781366
ola_mES_2i_1_8.counts,0.013948343,0.000156775,0.026423649,12670,0.797984641
ola_mES_2i_1_80.counts,0.005354581,0.000114897,0.025962684,12920,0.811723832
ola_mES_2i_1_81.counts,0.00535201,0.000154165,0.031688298,12577,0.810654615
ola_mES_2i_1_82.counts,0.008486563,0.000142029,0.025046632,12862,0.809034495
ola_mES_2i_1_83.counts,0.004925156,0.000147909,0.029606103,12556,0.812746152
ola_mES_2i_1_84.counts,0.00583358,0.000125018,0.026233846,12882,0.818204876
ola_mES_2i_1_85.counts,0.007398828,0.000195126,0.027351004,11153,0.786702925
ola_mES_2i_1_86.counts,0.007990515,0.000172292,0.026631404,12537,0.797944887
ola_mES_2i_1_87.counts,0.007416751,0.000171024,0.025848336,12323,0.807120137
ola_mES_2i_1_88.counts,0.004427227,0.000138351,0.036386276,2828,0.569171768
ola_mES_2i_1_89.counts,0.005938331,0.000197909,0.024101157,11694,0.755586507
ola_mES_2i_1_9.counts,0.009486189,0.00011377,0.02372629,12645,0.824229087
ola_mES_2i_1_90.counts,0.008224042,0.000144118,0.027344074,12694,0.797470368
ola_mES_2i_1_91.counts,0.006208526,4.92E-05,0.024065825,10226,0.812189726
ola_mES_2i_1_92.counts,0.007841436,0.000119586,0.024899275,12570,0.76519726
ola_mES_2i_1_93.counts,0.006746355,0.000103365,0.024285652,12227,0.821961594
ola_mES_2i_1_94.counts,0.005651622,0.000128701,0.026925427,12200,0.805745406
ola_mES_2i_1_95.counts,0.008862271,0.000127052,0.026662978,13112,0.77458872
ola_mES_2i_1_96.counts,0.00570842,0.00013003,0.025814769,12551,0.808565564
ola_mES_2i_2_1.counts,0.006630441,0.000338908,0.029651879,11769,0.804432128
ola_mES_2i_2_10.counts,0.003534603,0.000306755,0.027074748,11985,0.774135707
ola_mES_2i_2_11.counts,0.005465663,0.000272877,0.026824504,11694,0.79071167
ola_mES_2i_2_12.counts,0.004978517,0.000270695,0.028250497,11595,0.81084835
ola_mES_2i_2_13.counts,0.002308278,0.000272352,0.028367224,11605,0.803926056
ola_mES_2i_2_14.counts,0.006617218,0.000219096,0.030141528,11741,0.787683343
ola_mES_2i_2_15.counts,0.002829948,0.00017793,0.025349913,10617,0.828620353
ola_mES_2i_2_16.counts,0.003402624,0.000288841,0.026975036,12047,0.771370005
ola_mES_2i_2_17.counts,0.0047259,0.000246428,0.027697225,11788,0.795613049
ola_mES_2i_2_18.counts,0.005574095,0.000346054,0.031940454,10561,0.818859872
ola_mES_2i_2_19.counts,0.003109689,0.000262766,0.029043274,12004,0.800805562
ola_mES_2i_2_2.counts,0.004793176,0.00023631,0.028095239,11209,0.782410727
ola_mES_2i_2_20.counts,0.00543271,0.000315953,0.026444043,12123,0.802718731
ola_mES_2i_2_21.counts,0.003758399,0.000272308,0.026481709,11197,0.827386653
ola_mES_2i_2_22.counts,0.004773986,0.000273179,0.029190824,12137,0.799193043
ola_mES_2i_2_23.counts,0.004318382,0.000329714,0.029717991,11956,0.799327448
ola_mES_2i_2_24.counts,0.004815553,0.00050895,0.029648313,11781,0.796449815
ola_mES_2i_2_25.counts,0.004420025,0.000246109,0.028137605,11709,0.777984409
ola_mES_2i_2_26.counts,0.003367541,0.000264372,0.028996869,10797,0.807627358
ola_mES_2i_2_27.counts,0.005904656,0.000258777,0.025630585,11678,0.773175532
ola_mES_2i_2_28.counts,0.003967615,0.000150271,0.026906566,11194,0.817073652
ola_mES_2i_2_29.counts,0.004790889,0.000313443,0.03112249,11529,0.804006434
ola_mES_2i_2_3.counts,0.006329575,0.0003435,0.02549821,11776,0.784437789
ola_mES_2i_2_30.counts,0.005597968,0.000274822,0.032965388,11338,0.795547114
ola_mES_2i_2_31.counts,0.004750959,0.000273663,0.028017611,12049,0.772654482
ola_mES_2i_2_32.counts,0.003853931,0.000358665,0.024250494,12018,0.790369074
ola_mES_2i_2_33.counts,0.004550881,0.000353101,0.033692273,11202,0.79545198
ola_mES_2i_2_34.counts,0.004831343,0.000363969,0.02828587,11677,0.800532948
ola_mES_2i_2_35.counts,0.005038142,0.000261353,0.029848962,11751,0.794170719
ola_mES_2i_2_36.counts,0.002038693,0.000219844,0.030440604,11455,0.827273859
ola_mES_2i_2_37.counts,0.00459279,0.000313287,0.026623423,11611,0.806917011
ola_mES_2i_2_38.counts,0.003062341,0.000318704,0.030468061,11456,0.787060994
ola_mES_2i_2_39.counts,0.003766533,0.000472975,0.02983091,11582,0.798774748
ola_mES_2i_2_4.counts,0.00439762,0.000257568,0.028014075,10065,0.791643905
ola_mES_2i_2_40.counts,0.003653596,0.000252517,0.03725031,10406,0.795743456
ola_mES_2i_2_41.counts,0.002315538,0.000348691,0.028952959,11364,0.802186514
ola_mES_2i_2_42.counts,0.003557048,0.000269603,0.031003941,10642,0.80334389
ola_mES_2i_2_43.counts,0.005470034,0.000523996,0.032215712,11037,0.800725917
ola_mES_2i_2_44.counts,0.003339557,0.000414116,0.032002315,11611,0.803849433
ola_mES_2i_2_45.counts,0.001521351,0.00022673,0.018662061,8571,0.770715907
ola_mES_2i_2_46.counts,0.003490487,0.000458041,0.029701922,11796,0.809321065
ola_mES_2i_2_47.counts,0.003704756,0.000345938,0.030074937,11354,0.787543918
