,Actb,Gadph,Metabolic process,#Detected Genes,Mapping rate
ola_mES_2i_4_4.counts,0.002237682,1.00E-04,0.024572941,13073,0.828816492
ola_mES_2i_4_40.counts,0.002551857,0.000181681,0.032221412,12329,0.868860215
ola_mES_2i_4_41.counts,0.002639286,9.29E-06,0.018730853,10849,0.835361049
ola_mES_2i_4_42.counts,0.003275746,0.000154569,0.03157206,11649,0.865451013
ola_mES_2i_4_43.counts,0.002150914,0.00011741,0.025100611,11903,0.837184454
ola_mES_2i_4_44.counts,0.002679546,0.000200102,0.033128178,11991,0.852282271
ola_mES_2i_4_45.counts,0.002114146,0.00012617,0.015752592,10878,0.663820953
ola_mES_2i_4_46.counts,0.002517856,0.000177983,0.02990852,11564,0.854803066
ola_mES_2i_4_47.counts,0.002620806,0.000106661,0.021132517,10280,0.81562246
ola_mES_2i_4_48.counts,0.003339167,0.000182926,0.0214364,13582,0.752181235
ola_mES_2i_4_49.counts,0.00335719,0.000225378,0.027745259,11665,0.856571182
ola_mES_2i_4_5.counts,0.004665099,0.000171913,0.029101902,12234,0.851782149
ola_mES_2i_4_50.counts,0.002969425,0.000145639,0.029129412,12061,0.846683804
ola_mES_2i_4_51.counts,0.008244268,9.54E-05,0.014581325,9384,0.774507543
ola_mES_2i_4_52.counts,0.003292369,0.000145246,0.030449543,12465,0.858631352
ola_mES_2i_4_53.counts,0.003023893,0.000172575,0.031378731,11830,0.834528465
ola_mES_2i_4_54.counts,0.002869088,0.000193753,0.0315171,12360,0.860228389
ola_mES_2i_4_55.counts,0.006815802,5.12E-06,0.016219495,10123,0.818497514
ola_mES_2i_4_56.counts,0.002255422,0.000133441,0.026374922,12707,0.844211967
ola_mES_2i_4_57.counts,0.002372354,0.000176507,0.029433563,12227,0.859640797
ola_mES_2i_4_58.counts,0.004048204,0.000208014,0.026579318,11576,0.827754194
ola_mES_2i_4_59.counts,0.003360784,0.000204197,0.034394362,11657,0.837446588
ola_mES_2i_4_6.counts,0.002984732,0.000157972,0.031966728,11718,0.837745833
ola_mES_2i_4_60.counts,0.003184491,0.000140341,0.025509029,11109,0.841718389
ola_mES_2i_4_61.counts,0.002458992,0.000187665,0.0333947,11882,0.853199438
ola_mES_2i_4_62.counts,0.003374646,0.000158244,0.033894228,11965,0.838523308
ola_mES_2i_4_63.counts,0.002931385,0.000212073,0.028527605,11412,0.84785789
ola_mES_2i_4_64.counts,0.004753158,0.000142383,0.027517939,11273,0.866153998
ola_mES_2i_4_65.counts,0.002819169,0.000161242,0.032180201,11536,0.853117777
ola_mES_2i_4_66.counts,0.003330825,0.00019388,0.02829586,11788,0.831519138
ola_mES_2i_4_67.counts,0.003909356,0.000185761,0.029357594,11621,0.841059188
ola_mES_2i_4_68.counts,0.002282354,8.89E-05,0.02213498,12032,0.841003874
ola_mES_2i_4_69.counts,0.003651422,0.000174119,0.029835608,11739,0.856796444
ola_mES_2i_4_7.counts,0.002730556,0.000175441,0.032199879,11804,0.867710256
ola_mES_2i_4_70.counts,0.004550172,0.00016757,0.029997538,11859,0.834069729
ola_mES_2i_4_71.counts,0.003926382,0.000168113,0.030293813,11436,0.837057101
ola_mES_2i_4_72.counts,0.002924711,0.000189301,0.02977689,11252,0.857949377
ola_mES_2i_4_73.counts,0.003801742,0.000125414,0.027926509,11379,0.828457119
ola_mES_2i_4_74.counts,0.004387684,0.000144422,0.027935381,8794,0.807066597
ola_mES_2i_4_75.counts,0.002736052,0.000124523,0.028581542,10119,0.838948227
ola_mES_2i_4_76.counts,0.004867334,2.76E-06,0.012918949,8474,0.790622325
ola_mES_2i_4_77.counts,0.004790417,0.000204381,0.03331317,11417,0.827111023
ola_mES_2i_4_78.counts,0.003326387,0.000165054,0.031118947,11753,0.851059627
ola_mES_2i_4_79.counts,0.002964467,4.59E-05,0.017623144,13531,0.558722635
ola_mES_2i_4_8.counts,0.00458075,0.000138447,0.022400236,9998,0.690005103
ola_mES_2i_4_80.counts,0.004971081,0.00016794,0.02558951,11698,0.829429436
ola_mES_2i_4_81.counts,0.003198409,0.000187614,0.031322029,11696,0.848423333
ola_mES_2i_4_82.counts,0.001795808,0.000147208,0.027418041,11653,0.836196463
ola_mES_2i_4_83.counts,0.004738911,0.000158064,0.032379807,11626,0.855011062
ola_mES_2i_4_84.counts,0.003156777,0.000128848,0.02902342,11222,0.863835138
ola_mES_2i_4_85.counts,0.007973441,2.68E-05,0.013642892,9449,0.812253174
ola_mES_2i_4_86.counts,0.010995868,1.83E-06,0.017553738,9595,0.822450663
ola_mES_2i_4_87.counts,0.003594372,0.000202394,0.031899582,8552,0.865038157
ola_mES_2i_4_88.counts,0.003731791,0.000133946,0.034029228,11937,0.837314899
ola_mES_2i_4_89.counts,0.004284846,0.000209859,0.031811765,11339,0.828835495
ola_mES_2i_4_9.counts,0.003719449,0.000174618,0.031134162,12022,0.845773131
ola_mES_2i_4_90.counts,0.003504385,0.00013236,0.024089493,11557,0.843807588
ola_mES_2i_4_91.counts,0.004609229,0.000108077,0.026704694,11711,0.846057804
ola_mES_2i_4_92.counts,0.008757714,0.000350921,0.026747842,12509,0.72193064
ola_mES_2i_4_93.counts,0.006880314,8.45E-05,0.01681887,9749,0.817704026
ola_mES_2i_4_94.counts,0.004240688,0.00013198,0.031266458,11125,0.820494066
ola_mES_2i_4_95.counts,0.004453372,0.000172319,0.02928563,10172,0.833337693
ola_mES_2i_4_96.counts,0.004626079,0.000150744,0.029064786,11027,0.825311971
ola_mES_2i_5_1.counts,0.003659699,0.000356065,0.031803479,9670,0.877162879
ola_mES_2i_5_10.counts,0.003428984,0.000209483,0.032727317,10842,0.863806855
ola_mES_2i_5_11.counts,0.003406433,0.000154516,0.030403593,11114,0.857350168
ola_mES_2i_5_12.counts,0.003379189,0.000127104,0.028740234,11366,0.851303105
ola_mES_2i_5_13.counts,0.004832875,0.00026215,0.030254022,11467,0.846149988
ola_mES_2i_5_14.counts,0.005008674,0.000158966,0.034078762,11022,0.858299631
ola_mES_2i_5_15.counts,0.003796143,0.00021516,0.029814169,11062,0.861284936
ola_mES_2i_5_16.counts,0.003860732,0.000211767,0.029946222,10687,0.838456204
ola_mES_2i_5_17.counts,0.00385061,0.000247234,0.030031339,11309,0.856861708
ola_mES_2i_5_18.counts,0.004236307,0.000204859,0.032374356,11393,0.846556926
ola_mES_2i_5_19.counts,0.005172109,0.00017751,0.031698747,11166,0.854087964
ola_mES_2i_5_2.counts,0.002375681,0.000184105,0.027865007,10614,0.87410589
ola_mES_2i_5_20.counts,0.003465154,0.000199814,0.032530964,11494,0.862386259
ola_mES_2i_5_21.counts,0.003403837,0.00024343,0.036322477,11356,0.849669
ola_mES_2i_5_22.counts,0.002038259,5.92E-05,0.020996079,12171,0.771593244
ola_mES_2i_5_23.counts,0.003689289,0.000173086,0.028045331,11520,0.852898635
ola_mES_2i_5_24.counts,0.003254915,0.000207319,0.034818176,11240,0.863688577
ola_mES_2i_5_25.counts,0.00355652,0.000176486,0.030288391,11266,0.870095696
ola_mES_2i_5_26.counts,0.004182841,0.000210707,0.034486081,11257,0.863044025
ola_mES_2i_5_27.counts,0.004016472,0.000165153,0.030480631,11541,0.85945698
ola_mES_2i_5_28.counts,0.004437001,0.000183927,0.034335087,10060,0.853614412
ola_mES_2i_5_29.counts,0.004540652,0.000206723,0.034139513,10426,0.853132817
ola_mES_2i_5_3.counts,0.003571579,0.000243846,0.028825544,11303,0.848266621
ola_mES_2i_5_30.counts,0.002886189,0.000217939,0.030471438,10786,0.832834761
ola_mES_2i_5_31.counts,0.002613789,0.000114874,0.028996236,11565,0.873536754
ola_mES_2i_5_32.counts,0.002958492,0.000201914,0.033745817,11534,0.846164947
ola_mES_2i_5_33.counts,0.006351054,0.000213123,0.022674915,12693,0.708232245
ola_mES_2i_5_34.counts,0.002915225,0.000125641,0.031904922,11445,0.847182061
ola_mES_2i_5_35.counts,0.003334307,0.000226666,0.028555166,11971,0.849606352
ola_mES_2i_5_36.counts,0.002943456,0.000231193,0.032673334,10966,0.865771713
ola_mES_2i_5_37.counts,0.002816186,0.000170585,0.026381902,11491,0.80950457
ola_mES_2i_5_38.counts,0.002842823,0.000240795,0.033466014,11428,0.844525462
ola_mES_2i_5_39.counts,0.002781285,0.000294991,0.035537402,10915,0.859997984
ola_mES_2i_5_4.counts,0.004766134,0.00019664,0.032334978,11123,0.850149828
ola_mES_2i_5_40.counts,0.004171146,0.000209977,0.03107253,11475,0.850543001
ola_mES_2i_5_41.counts,0.003792292,0.000297557,0.03177996,11079,0.852485936
ola_mES_2i_5_42.counts,0.002680758,0.000181703,0.032405866,10949,0.860684326
ola_mES_2i_5_43.counts,0.00181363,0.000143693,0.027371317,10061,0.859239449
ola_mES_2i_5_44.counts,0.003638151,0.000224974,0.032656341,11312,0.849603147
ola_mES_2i_5_45.counts,0.001852464,0.000120153,0.029243429,10967,0.855955074
ola_mES_2i_5_46.counts,0.003239712,0.00022254,0.030662872,11383,0.86309154
ola_mES_2i_5_47.counts,0.003648666,0.000190809,0.029757349,11314,0.850430986
ola_mES_2i_5_48.counts,0.003582247,0.000256564,0.030485829,11713,0.841048773
ola_mES_2i_5_49.counts,0.003574747,0.000211041,0.032924952,12064,0.84088683
ola_mES_2i_5_5.counts,0.007323261,0.000173136,0.035286277,10809,0.847418655
ola_mES_2i_5_50.counts,0.004177144,0.000141022,0.019189208,13040,0.712191369
ola_mES_2i_5_51.counts,0.003612916,0.000201196,0.036134958,11132,0.856165521
ola_mES_2i_5_52.counts,0.00237267,0.000164209,0.029034222,10830,0.700623719
ola_mES_2i_5_53.counts,0.002955084,0.000196442,0.033712996,11907,0.858807464
ola_mES_2i_5_54.counts,0.002133515,0.000187203,0.027878024,11798,0.864240331
ola_mES_2i_5_55.counts,0.002472079,0.000168143,0.033949053,11451,0.866891139
ola_mES_2i_5_56.counts,0.003750221,0.000157699,0.029811236,11647,0.846830968
ola_mES_2i_5_57.counts,0.003929461,0.000202707,0.02944562,11107,0.829711914
ola_mES_2i_5_58.counts,0.00228022,0.000259986,0.033539654,11714,0.85365203
ola_mES_2i_5_59.counts,0.002372245,0.000186498,0.032044561,11497,0.867577616
ola_mES_2i_5_6.counts,0.00421969,0.000200915,0.029701485,11387,0.856072447
ola_mES_2i_5_60.counts,0.001212284,0,0.037850216,2755,0.639513702
ola_mES_2i_5_61.counts,0.003645941,0.000251675,0.030103946,11893,0.851058489
ola_mES_2i_5_62.counts,0.004229182,0.00019072,0.027876396,11690,0.851203979
ola_mES_2i_5_63.counts,0.003728854,0.000192967,0.030364239,11172,0.857904868
ola_mES_2i_5_64.counts,0.001935074,0.000296011,0.027782056,12132,0.808762449
ola_mES_2i_5_65.counts,0.002937128,0.000262931,0.031341334,11931,0.857720283
ola_mES_2i_5_66.counts,0.003053984,0.00020513,0.029189192,10912,0.735701872
ola_mES_2i_5_67.counts,0.002812184,0.000150926,0.033016097,11995,0.85562904
ola_mES_2i_5_68.counts,0.003126582,0.000119493,0.030253765,11156,0.866164539
ola_mES_2i_5_69.counts,0.004484191,0.000275657,0.031957465,11087,0.843184675
ola_mES_2i_5_7.counts,0.00211114,0.00022646,0.031424045,10623,0.852795561
ola_mES_2i_5_70.counts,0.003701784,0.000230785,0.034943148,11405,0.85920693
ola_mES_2i_5_71.counts,0.00322187,0.000195182,0.031067985,10742,0.81899316
ola_mES_2i_5_72.counts,0.002909312,0.000253027,0.033297571,11704,0.834230588
ola_mES_2i_5_73.counts,0.004320663,0.000181547,0.029022944,11915,0.844111451
ola_mES_2i_5_74.counts,0.002316541,0.000113268,0.025966335,11352,0.860309205
ola_mES_2i_5_75.counts,0.002015357,7.90E-05,0.023347073,11251,0.856827272
ola_mES_2i_5_76.counts,0.00361752,0.000186419,0.031176413,11432,0.860264948
ola_mES_2i_5_77.counts,0.003550233,0.000205109,0.033034152,11575,0.848839937
ola_mES_2i_5_78.counts,0.002614672,0.000216741,0.032593226,10745,0.853218647
ola_mES_2i_5_79.counts,0.002674414,1.72E-05,0.016736916,10698,0.523525787
ola_mES_2i_5_8.counts,0.00374678,0.000177084,0.032065344,10972,0.865097182
ola_mES_2i_5_80.counts,0.002331892,1.67E-05,0.022261645,10451,0.837212749
ola_mES_2i_5_81.counts,0.003506395,0.000170131,0.031365468,12201,0.83968133
ola_mES_2i_5_82.counts,0.002104706,0.000185489,0.02989606,10954,0.867355987
ola_mES_2i_5_83.counts,0.006248615,0.000195012,0.029152529,11658,0.843611374
ola_mES_2i_5_84.counts,0.002846314,0.000154691,0.02682342,6468,0.78694842
ola_mES_2i_5_85.counts,0.003799439,0.00019736,0.028859298,10767,0.857273982
ola_mES_2i_5_86.counts,0.001793161,0.000242584,0.027686498,10830,0.84221009
ola_mES_2i_5_87.counts,0.003893118,0.000250155,0.032179951,11353,0.856333953
ola_mES_2i_5_88.counts,0.004915738,0.000234963,0.029245171,11724,0.833034431
ola_mES_2i_5_89.counts,0.003959545,0.000208641,0.024226714,12330,0.788479539
ola_mES_2i_5_9.counts,0.004012108,0.000225167,0.030002214,10519,0.836083809
ola_mES_2i_5_90.counts,0.004697073,0.000235692,0.033181488,10934,0.844371984
ola_mES_2i_5_91.counts,0.007798156,0.000198263,0.026360107,12877,0.779736911
ola_mES_2i_5_92.counts,0.003069692,0.000126493,0.026217683,11278,0.862661106
ola_mES_2i_5_93.counts,0.005757293,0.000183509,0.02161702,12134,0.739581842
ola_mES_2i_5_94.counts,0.003587134,0.000181119,0.029501426,11415,0.853074281
ola_mES_2i_5_95.counts,0.004347388,0.0001773,0.030566775,10499,0.843403807
ola_mES_2i_5_96.counts,0.004026124,0.000166157,0.028564839,12261,0.850961647
ola_mES_a2i_2_1.counts,0.005165853,0.000151986,0.026813981,10040,0.836180228
ola_mES_a2i_2_10.counts,0.006566098,0.000221506,0.026814804,11422,0.839672558
ola_mES_a2i_2_11.counts,0.006593918,0.000160526,0.027019614,10942,0.840978647
ola_mES_a2i_2_12.counts,0.007176748,0.000247682,0.026514865,11401,0.847445817
ola_mES_a2i_2_13.counts,0.01288855,0.000152958,0.021484256,13102,0.755885804
ola_mES_a2i_2_14.counts,0.006642314,0.000207962,0.028866336,11157,0.833670377
ola_mES_a2i_2_15.counts,0.006080907,0.000270105,0.02598472,10019,0.840105751
ola_mES_a2i_2_16.counts,0.006628388,0.00015707,0.029677167,10710,0.851123576
ola_mES_a2i_2_17.counts,0.008090064,0.000206233,0.030721812,11316,0.838858981
ola_mES_a2i_2_18.counts,0.004820487,0.000163971,0.027062118,11113,0.845622959
ola_mES_a2i_2_19.counts,0.004476849,0.000144132,0.027764999,10459,0.841347035
ola_mES_a2i_2_2.counts,0.00431445,0.00037776,0.03268396,9819,0.828253767
ola_mES_a2i_2_20.counts,0.006033609,0.000184772,0.029027567,10924,0.854532653
ola_mES_a2i_2_21.counts,0.005101975,0.000117172,0.026054966,10684,0.845724242
ola_mES_a2i_2_22.counts,0.006757719,0.000170261,0.027743717,11060,0.855107075
ola_mES_a2i_2_23.counts,0.008540432,0.000131018,0.023481211,11940,0.81940562
ola_mES_a2i_2_24.counts,0.004409643,0.000143812,0.024710813,11583,0.841482539
ola_mES_a2i_2_25.counts,0.00222845,9.81E-05,0.022743345,10312,0.820005446
ola_mES_a2i_2_26.counts,0.00664003,0.000255182,0.028284623,11740,0.828319683
ola_mES_a2i_2_27.counts,0.004985367,0.000177122,0.027638568,11470,0.860466833
ola_mES_a2i_2_28.counts,0.006552956,0.000153442,0.026737764,11418,0.836223908
ola_mES_a2i_2_29.counts,0.005230975,0.000154804,0.02728225,11069,0.85523756
ola_mES_a2i_2_3.counts,0.005443485,0.000177673,0.027432665,10865,0.847143629
ola_mES_a2i_2_30.counts,0.004268904,0.000353483,0.028821879,10647,0.829960711
ola_mES_a2i_2_31.counts,0.003329494,0.000225929,0.030180357,9404,0.869622359
ola_mES_a2i_2_32.counts,0.005013669,0.000165084,0.028304379,11533,0.836317968
ola_mES_a2i_2_33.counts,0.004865818,0.000200369,0.029688461,10752,0.847732259
ola_mES_a2i_2_34.counts,0.004455089,0.000195752,0.026613684,11632,0.846208397
ola_mES_a2i_2_35.counts,0.004525438,0.000250723,0.031569262,11244,0.83781118
ola_mES_a2i_2_36.counts,0.00338429,0.000449249,0.031652185,10403,0.835278273
ola_mES_a2i_2_37.counts,0.004771823,0.00016358,0.028062811,11765,0.828206185
ola_mES_a2i_2_38.counts,0.005342612,0.000267842,0.032871275,11164,0.819543484
ola_mES_a2i_2_39.counts,0.006018099,0.000194095,0.028792863,10886,0.834970693
ola_mES_a2i_2_4.counts,0.005596337,0.000219667,0.029185103,11023,0.825383877
ola_mES_a2i_2_40.counts,0.004909759,0.000217211,0.029912491,11239,0.83519475
ola_mES_a2i_2_41.counts,0.003149869,0.000320775,0.026755963,10859,0.838846715
ola_mES_a2i_2_42.counts,0.007375674,0.000166952,0.032278171,10664,0.844501685
ola_mES_a2i_2_43.counts,0.005446156,0.000285887,0.032829055,11774,0.805577738
ola_mES_a2i_2_44.counts,0.003756785,0.000305621,0.030565914,9933,0.84462753
ola_mES_a2i_2_45.counts,0.005194729,0.000204454,0.029849323,11271,0.822312358
ola_mES_a2i_2_46.counts,0.00470286,0.000199099,0.030991591,9899,0.83462546
ola_mES_a2i_2_47.counts,0.004604,0.000192888,0.023862268,10797,0.835168003
ola_mES_a2i_2_48.counts,0.005450257,0.000233939,0.029388447,11469,0.809644383
ola_mES_a2i_2_49.counts,0.005703484,0.000191903,0.02727942,9754,0.827010168
ola_mES_a2i_2_5.counts,0.004951018,0.000233832,0.031282914,10717,0.846503748
ola_mES_a2i_2_50.counts,0.005476183,0.000169288,0.024530463,11014,0.838640029
ola_mES_a2i_2_51.counts,0.004691184,0.000195373,0.026523775,11194,0.833693769
ola_mES_a2i_2_52.counts,0.006583569,0.000192952,0.032112922,11312,0.823782414
ola_mES_a2i_2_53.counts,0.005310309,0.000176366,0.028803282,11455,0.833307483
ola_mES_a2i_2_54.counts,0.004254722,0.000173724,0.028865591,10766,0.845195008
ola_mES_a2i_2_55.counts,0.004703553,0.000165663,0.030725063,10064,0.83721148
ola_mES_a2i_2_56.counts,0.006664993,0.000222406,0.030304286,11948,0.827091537
ola_mES_a2i_2_57.counts,0.005556887,0.000235786,0.027861653,10445,0.829280965
ola_mES_a2i_2_58.counts,0.004397206,6.53E-06,0.015517627,7487,0.660301078
ola_mES_a2i_2_59.counts,0.003878071,0.000181648,0.025675018,10494,0.851744567
ola_mES_a2i_2_6.counts,0.009267532,0.000243625,0.026775604,12008,0.83026278
ola_mES_a2i_2_60.counts,0.003288114,0.000189216,0.030079528,11789,0.852444244
ola_mES_a2i_2_61.counts,0.004743266,0.00023389,0.031788139,11572,0.849105744
ola_mES_a2i_2_62.counts,0.003809163,0.000144466,0.023086089,10003,0.850443915
ola_mES_a2i_2_63.counts,0.005316959,0.000191967,0.028758535,11757,0.824232553
ola_mES_a2i_2_64.counts,0.003480744,0.000195128,0.029066835,11370,0.84566988
ola_mES_a2i_2_65.counts,0.00630896,0.000227759,0.027636158,11701,0.821073983
ola_mES_a2i_2_66.counts,0.003796835,0.000222853,0.02786068,10489,0.824213831
ola_mES_a2i_2_67.counts,0.005790643,0.000167606,0.027769997,11643,0.815979311
ola_mES_a2i_2_68.counts,0.00410398,0.00016282,0.02740508,10855,0.845413021
ola_mES_a2i_2_69.counts,0.003934342,0.000132406,0.03044472,10752,0.866703291
ola_mES_a2i_2_7.counts,0.008732636,0.000254798,0.029270728,11223,0.849304448
ola_mES_a2i_2_70.counts,0.003713709,0.000183358,0.027771287,11538,0.823832139
ola_mES_a2i_2_71.counts,0.006145693,0.000298469,0.028729148,10870,0.832555516
ola_mES_a2i_2_72.counts,0.006336341,0.000201428,0.026040705,11701,0.828189728
ola_mES_a2i_2_73.counts,0.008054292,0.000122288,0.026109723,10507,0.835066178
ola_mES_a2i_2_74.counts,0.009489353,0.000160618,0.02938734,11144,0.833895873
ola_mES_a2i_2_75.counts,0.004008157,0.000221392,0.029752601,11199,0.839424526
ola_mES_a2i_2_76.counts,0.007638211,0.000445696,0.026712481,10954,0.831338803
ola_mES_a2i_2_77.counts,0.005962428,0.000187753,0.027579141,11180,0.831288953
ola_mES_a2i_2_78.counts,0.004320435,0.000219618,0.026769518,10989,0.828685816
ola_mES_a2i_2_79.counts,0.008467312,1.97E-05,0.011037128,7978,0.646647857
ola_mES_a2i_2_8.counts,0.007690589,0.000199562,0.022511447,9413,0.821394474
ola_mES_a2i_2_80.counts,0.004876264,0.000275249,0.026394734,10190,0.827095016
ola_mES_a2i_2_81.counts,0.005118827,0.00012995,0.023739325,10539,0.847112131
ola_mES_a2i_2_82.counts,0.003924117,0.000208091,0.033360482,10059,0.841435743
ola_mES_a2i_2_83.counts,0.007406718,0.000148147,0.024849371,10458,0.821605566
ola_mES_a2i_2_84.counts,0.00389617,0.000235054,0.029452663,11612,0.836644684
ola_mES_a2i_2_85.counts,0.004521731,8.70E-05,0.020153944,10147,0.746468182
ola_mES_a2i_2_86.counts,0.01005994,8.05E-05,0.023093118,8256,0.839571956
ola_mES_a2i_2_87.counts,0.005589216,0.000208698,0.027567827,10395,0.830498177
ola_mES_a2i_2_88.counts,0.005956552,0.000236861,0.027672325,10520,0.825330081
ola_mES_a2i_2_89.counts,0.009889086,0.000227842,0.02962806,10972,0.805253093
ola_mES_a2i_2_9.counts,0.005292037,0.000274172,0.030322788,10056,0.860426937
ola_mES_a2i_2_90.counts,0.007278381,0.00011116,0.03113012,10116,0.826631927
ola_mES_a2i_2_91.counts,0.005342485,0.000197235,0.032402829,10982,0.847235977
ola_mES_a2i_2_92.counts,0.006333606,0.000230901,0.026054347,11502,0.834331556
ola_mES_a2i_2_93.counts,0.00728608,0.000259244,0.026470132,12510,0.783204952
ola_mES_a2i_2_94.counts,0.005792805,0.000199823,0.026540125,10303,0.810662426
ola_mES_a2i_2_95.counts,0.005024844,0.000176145,0.029268802,11316,0.830167079
ola_mES_a2i_2_96.counts,0.009860359,0.00019993,0.028852256,11623,0.821219248
ola_mES_a2i_3_1.counts,0.003381825,2.18E-05,0.015293996,8000,0.667335031
ola_mES_a2i_3_10.counts,0.008836581,0.000187832,0.03420209,10002,0.776412982
ola_mES_a2i_3_11.counts,0.004171025,0.00016464,0.024929514,10962,0.786972217
ola_mES_a2i_3_12.counts,0.003648366,0.000269875,0.028313625,10764,0.769918396
ola_mES_a2i_3_13.counts,0.002631519,0.000181236,0.032544559,11199,0.813614716
ola_mES_a2i_3_14.counts,0.003157559,0.000212946,0.027575929,10081,0.744058294
ola_mES_a2i_3_15.counts,0.001146531,3.77E-07,0.004172499,7689,0.544363086
ola_mES_a2i_3_16.counts,0.006022663,0.000126143,0.029367993,9523,0.736447783
ola_mES_a2i_3_17.counts,0.003378483,0.000434632,0.028468802,9768,0.780218825
ola_mES_a2i_3_18.counts,0.008305698,0.000197935,0.030400384,10067,0.775606177
ola_mES_a2i_3_19.counts,0.003780292,0.000288408,0.027987558,11125,0.785278414
ola_mES_a2i_3_2.counts,0.004445014,0.000187539,0.027286732,9922,0.771967329
ola_mES_a2i_3_20.counts,0.004378536,0.000370804,0.032570369,10063,0.796585965
ola_mES_a2i_3_21.counts,0.00605166,0.000149372,0.026888823,9855,0.759621115
ola_mES_a2i_3_22.counts,0.003331012,0.000233791,0.03037186,8890,0.762614797
ola_mES_a2i_3_23.counts,0.005460217,0.000160576,0.028115378,8643,0.705015508
ola_mES_a2i_3_24.counts,0.004289342,0.000278823,0.025549658,10933,0.80918878
ola_mES_a2i_3_25.counts,0.003456531,0.00014846,0.030543655,10364,0.781717951
ola_mES_a2i_3_26.counts,0.006123414,0.000195468,0.026796664,9757,0.741486788
ola_mES_a2i_3_27.counts,0.005477895,0.000196779,0.028027678,11508,0.807332473
ola_mES_a2i_3_28.counts,0.00592681,0.000231508,0.027688795,9749,0.760431202
ola_mES_a2i_3_29.counts,0.00385971,0.000161876,0.030132725,9614,0.775191509
ola_mES_a2i_3_3.counts,0.005727821,0.000191795,0.02880884,10216,0.790381914
ola_mES_a2i_3_30.counts,0.003759022,0.000245609,0.024511729,9830,0.782446965
ola_mES_a2i_3_31.counts,0.00307998,0.000253332,0.026904661,11037,0.781379654
ola_mES_a2i_3_32.counts,0.001954123,6.51E-05,0.009170882,10565,0.599999568
ola_mES_a2i_3_33.counts,0.006131783,0.000172248,0.028609757,9643,0.765954027
ola_mES_a2i_3_34.counts,0.003048298,0.000232081,0.034831893,9384,0.743619859
ola_mES_a2i_3_35.counts,0.001594437,0,0.005674941,6834,0.47090056
ola_mES_a2i_3_36.counts,0.002336604,0.000179022,0.030983922,9566,0.74578507
ola_mES_a2i_3_37.counts,0.004601916,0.000213634,0.030315658,11340,0.8138714
ola_mES_a2i_3_38.counts,0.003630822,0.000218657,0.029733259,9718,0.767284594
ola_mES_a2i_3_39.counts,0.003611227,0.000158852,0.033236964,9807,0.776019464
ola_mES_a2i_3_4.counts,0.006614607,0.000199821,0.026150718,10083,0.777664723
ola_mES_a2i_3_40.counts,0.003730846,0.000355735,0.027783865,9393,0.755197408
ola_mES_a2i_3_41.counts,0.004240631,0.000104289,0.031068329,9646,0.750037299
ola_mES_a2i_3_42.counts,0.001983858,0.000243399,0.030746551,9405,0.759331165
ola_mES_a2i_3_43.counts,0.003860064,2.74E-06,0.020849892,8187,0.625218929
ola_mES_a2i_3_44.counts,0.003029483,0.00020015,0.032304924,9865,0.757985064
ola_mES_a2i_3_45.counts,0.004748191,0.000183825,0.024188199,9772,0.756961991
ola_mES_a2i_3_46.counts,0.005008237,0.00019022,0.024416753,10773,0.74093464
ola_mES_a2i_3_47.counts,0.001068149,0.000185565,0.03065022,9867,0.797334586
ola_mES_a2i_3_48.counts,0.001355988,1.10E-06,0.00132254,5366,0.463921042
ola_mES_a2i_3_49.counts,0.003632838,0.000205548,0.029053206,10422,0.75246357
ola_mES_a2i_3_5.counts,0.001011789,7.88E-07,0.002873891,7067,0.492949211
ola_mES_a2i_3_50.counts,0.00360882,0.000238523,0.033791472,10448,0.794209369
ola_mES_a2i_3_51.counts,0.004495092,0.000122749,0.020265024,8969,0.68242952
ola_mES_a2i_3_52.counts,0.003766707,0.000257279,0.027204708,10697,0.789223375
ola_mES_a2i_3_53.counts,0.002912095,0.000239678,0.026757582,9682,0.752812826
ola_mES_a2i_3_54.counts,0.005842578,0.000171486,0.028242439,8581,0.705850678
ola_mES_a2i_3_55.counts,0.00532819,0.000256383,0.024409152,11004,0.716114829
ola_mES_a2i_3_56.counts,0.003652773,0.000258254,0.029632153,10524,0.772829618
ola_mES_a2i_3_57.counts,0.003871237,5.52E-07,0.006333999,7291,0.520291854
ola_mES_a2i_3_58.counts,0.004936483,0.0002096,0.025542042,10790,0.770228864
ola_mES_a2i_3_59.counts,0.004969291,0.000384502,0.026625814,9729,0.767014849
ola_mES_a2i_3_6.counts,0.004009383,0.000204409,0.025081661,9279,0.749727588
ola_mES_a2i_3_60.counts,0.001554865,0.000222124,0.030875167,2015,0.54158015
ola_mES_a2i_3_61.counts,0.00240715,6.43E-05,0.010023765,11454,0.564102936
ola_mES_a2i_3_62.counts,0.005200898,0.000153392,0.025182471,10912,0.787475689
ola_mES_a2i_3_63.counts,0.003811398,0.000195653,0.025866484,10163,0.767326498
ola_mES_a2i_3_64.counts,0.002916822,0.000202156,0.026290342,10373,0.777914006
ola_mES_a2i_3_65.counts,0.00177655,0.000333156,0.036421661,9655,0.752863924
ola_mES_a2i_3_66.counts,0.004266869,0.000246286,0.026112286,10494,0.789928987
ola_mES_a2i_3_67.counts,0.003390098,0.000207898,0.027923991,10427,0.752359169
ola_mES_a2i_3_68.counts,0.006618478,0.000175682,0.026419011,9962,0.761733964
