,Mapped,Detected genes,Metabolic Process,Actb,Gadph,Quality
ola_mES_2i_1_80.counts,0.921098516642809,0.898935337404102,0.30551165605381786,0.0984957414276078,0.18433304669250714,1
ola_mES_2i_1_81.counts,0.9198093351648037,0.8720839204634414,0.3737652929865077,0.09844779507381518,0.2473319942500706,1
ola_mES_2i_1_82.counts,0.9178559162646682,0.8943948645686551,0.2945916253602601,0.15690379939887095,0.22786180917421775,1
ola_mES_2i_1_83.counts,0.9223311532437932,0.8704399561609519,0.34894395826973107,0.09048743221819674,0.23729528711143055,1
ola_mES_2i_1_84.counts,0.9289128722721509,0.8959605448567403,0.3087441115944712,0.10742855182057208,0.2005705008085838,1
ola_mES_2i_1_85.counts,0.8909301879805301,0.760607483951777,0.3220614774749601,0.13661872466428693,0.313047077547039,1
ola_mES_2i_1_86.counts,0.9044849006224359,0.868952559887271,0.31348330277845354,0.14765304369831803,0.2764137382241959,1
ola_mES_2i_1_87.counts,0.9155477273040816,0.8521997808047597,0.30414854165665817,0.13695296912131733,0.2743794440023616,1
ola_mES_2i_1_88.counts,0.6286474722235907,0.10889306403632379,0.42976873379298963,0.08120159791341047,0.22196107246451213,0
ola_mES_2i_1_89.counts,0.8534123503970702,0.802959135744481,0.2833208503169311,0.10938204404388237,0.31751193623739,1
ola_mES_2i_1_9.counts,0.9361764130134566,0.8774072334429309,0.27885215296568694,0.1755457371103846,0.182524963421208,1
ola_mES_2i_1_90.counts,0.9039127612851809,0.8812431501487397,0.3219788666486027,0.15200806826546276,0.2312132607747003,1
ola_mES_2i_1_91.counts,0.9216602566034661,0.6880382025990293,0.28289966623080415,0.1144208869310846,0.07893318273994404,0
ola_mES_2i_1_92.counts,0.865000273856279,0.8715359323626115,0.2928350187888966,0.14487288248592986,0.1918557640475396,1
ola_mES_2i_1_93.counts,0.9334424404175223,0.8446845154219509,0.2855201698564419,0.12445081284082052,0.16583187873809585,1
ola_mES_2i_1_94.counts,0.9138901800125215,0.8425708470330359,0.316988278680053,0.10403523301722803,0.20647925918320198,1
ola_mES_2i_1_95.counts,0.8763237903018918,0.9139658681697197,0.31385968867043174,0.16391034498063586,0.20383371409502785,1
ola_mES_2i_1_96.counts,0.9172905145177239,0.8700485360889306,0.30374839770163087,0.1050944539439932,0.20861141771697,1
ola_mES_2i_2_1.counts,0.9123067281285056,0.8088304368248004,0.3494896427123482,0.12228914280833597,0.5437212824396129,1
ola_mES_2i_2_10.counts,0.875777581282679,0.8257397839361202,0.3187682976125948,0.06455513112703022,0.4921371640526735,1
ola_mES_2i_2_11.counts,0.8957636313358515,0.802959135744481,0.3157852004075467,0.10056729991535258,0.4377855712708884,1
ola_mES_2i_2_12.counts,0.9200429262633751,0.7952090183184594,0.3327841124003142,0.09148255683302677,0.43428491670303154,1
ola_mES_2i_2_13.counts,0.9116965445559124,0.795991858462502,0.3341755862716303,0.04168550362227149,0.43694329645506585,1
ola_mES_2i_2_14.counts,0.8921123022999835,0.8066384844214811,0.3553266280680593,0.12204254823960793,0.35150293913802394,1
ola_mES_2i_2_15.counts,0.9414710714337723,0.7186472522310944,0.29820696360391097,0.051414081756459,0.28545896757963907,1
ola_mES_2i_2_16.counts,0.8724429057284345,0.8305933928291843,0.31757965537338123,0.062093866316763335,0.4633971430038247,1
ola_mES_2i_2_17.counts,0.90167334566277,0.8103178330984813,0.3261886929024187,0.08677152452807525,0.3953525682162384,1
ola_mES_2i_2_18.counts,0.9297026172082749,0.714263347424456,0.37677118267351756,0.10258943878522475,0.555185845932695,1
ola_mES_2i_2_19.counts,0.9079340874802891,0.8272271802098011,0.3422346121242891,0.056630947161477006,0.4215641604846369,1
ola_mES_2i_2_2.counts,0.8857549783069728,0.7649913887584155,0.33093331995029995,0.08802614875901743,0.37911992709910924,1
ola_mES_2i_2_20.counts,0.910240842834061,0.836542977923908,0.31124981835750837,0.09995276230487875,0.5068938188258849,1
ola_mES_2i_2_21.counts,0.9399835687197159,0.7640519805855644,0.3116988254838544,0.06872868312756433,0.43687270580383497,1
ola_mES_2i_2_22.counts,0.9059898332945326,0.8376389541255675,0.3439935194012062,0.08766827612997023,0.43827007983160926,1
ola_mES_2i_2_23.counts,0.9061518887393595,0.8234695475183967,0.3502777476116471,0.07917175704271513,0.5289710449983315,1
ola_mES_2i_2_24.counts,0.902682255199959,0.8097698449976515,0.3494471333029989,0.0884434554718986,0.8165252714531406,1
ola_mES_2i_2_25.counts,0.8804180568201634,0.8041333959605449,0.3314383546212174,0.08106728844627145,0.3948407859948148,1
ola_mES_2i_2_26.counts,0.9161592962544961,0.732738374823861,0.3416814295273027,0.06143960652286738,0.42414071925456276,1
ola_mES_2i_2_27.counts,0.8746198744508161,0.8017065915140128,0.30155278551666514,0.1087540419186523,0.4151644762173679,1
ola_mES_2i_2_28.counts,0.9275489274150498,0.7638171285423516,0.3167634413357634,0.07263033398523713,0.24108472161614086,1
ola_mES_2i_2_29.counts,0.9117934583057307,0.7900422733677783,0.3670204349144107,0.08798349869634778,0.5028669430397618,1
ola_mES_2i_2_3.counts,0.8881990572780036,0.8093784249256302,0.2999747756841887,0.11667831912876754,0.5510883794953411,1
ola_mES_2i_2_30.counts,0.9015938461965698,0.7750900266165649,0.38898916892197394,0.10303464427106342,0.4409059989218883,1
ola_mES_2i_2_31.counts,0.8739916315318252,0.8307499608579928,0.330007935646047,0.08723884762402598,0.4390465769951485,1
ola_mES_2i_2_32.counts,0.8953505548344128,0.8283231564114608,0.28510105998153945,0.07051025102741519,0.5754180891752445,1
ola_mES_2i_2_33.counts,0.9014791407712643,0.7644434006575858,0.3976541863125661,0.0835076105279078,0.5664915804605077,1
ola_mES_2i_2_34.counts,0.907605390013409,0.8016283074996086,0.3332057852373619,0.08873792179876965,0.5839274713145263,1
ola_mES_2i_2_35.counts,0.8999342925789043,0.8074213245655237,0.3518390207052771,0.09259449823516015,0.41929723798033725,1
ola_mES_2i_2_36.counts,0.9398475701940378,0.7842492563018632,0.3588918395404501,0.03665803657163615,0.35270298020894836,1
ola_mES_2i_2_37.counts,0.9153028132436978,0.7964615625489275,0.31338816323946966,0.08428916779787861,0.5026166670944888,1
ola_mES_2i_2_38.counts,0.891361920662154,0.7843275403162674,0.3592191476875346,0.05574795845693675,0.5113073388607953,1
ola_mES_2i_2_39.counts,0.9054854846297224,0.794191326131204,0.35162382725110625,0.06888037338106459,0.7588093924070128,1
ola_mES_2i_2_4.counts,0.8968876502161616,0.6754344762799437,0.3299657838593227,0.08064945956384295,0.4132248376415022,1
ola_mES_2i_2_40.counts,0.9018305806197545,0.7021293251917958,0.44006867069643785,0.066774221160809,0.40512135174679775,1
ola_mES_2i_2_41.counts,0.9095991355859725,0.7771254109910756,0.3411579892119559,0.041820894726329993,0.5594164720075981,1
ola_mES_2i_2_42.counts,0.910994612558643,0.7206043525912009,0.3656072414290075,0.0649737059659549,0.4325329850861206,1
ola_mES_2i_2_43.counts,0.9078380575267664,0.751526538280883,0.38005246562322714,0.10064881431147375,0.8406640655081243,1
ola_mES_2i_2_44.counts,0.9116041583028047,0.7964615625489275,0.37750861244686473,0.060917735358132774,0.664379957388916,1
ola_mES_2i_2_45.counts,0.8716542435332016,0.5584781587599812,0.21848272402583893,0.027010170930336426,0.36375041712657546,0
ola_mES_2i_2_46.counts,0.918201440827177,0.8109441052137154,0.3500861930129837,0.06373241570738214,0.7348502836460713,1
ola_mES_2i_2_47.counts,0.8919441941165457,0.7763425708470331,0.35453281312751594,0.06772829951943615,0.5549997433067229,1
ola_mES_2i_2_48.counts,0.931457778775775,0.7371222796304995,0.3917283198138073,0.044147439793384965,0.5389788741432862,1
ola_mES_2i_2_49.counts,0.9026639414456233,0.7763425708470331,0.33327776275100485,0.05482772787432422,0.6284878199039967,1
ola_mES_2i_2_5.counts,0.8877748748452208,0.7034601534366682,0.36158839757765504,0.058279193986546296,0.35687424596349826,1
ola_mES_2i_2_50.counts,0.9121319739898436,0.7339909190543291,0.3015858060056998,0.039900094046465245,0.33417614292681674,1
ola_mES_2i_2_51.counts,0.9026578211864222,0.7458900892437764,0.36451187909112825,0.049121030136082974,0.5030273763380138,1
ola_mES_2i_2_52.counts,0.930498523398244,0.7229528730233287,0.3578950856810165,0.08769197889763666,0.4040480529814924,1
ola_mES_2i_2_53.counts,0.9154108835653025,0.8110223892281196,0.3233013431948169,0.054077071852208114,0.4995106784403316,1
ola_mES_2i_2_54.counts,0.9198124543749205,0.7002505088460936,0.3626556150149528,0.07997485380651341,0.8229426033832173,1
ola_mES_2i_2_55.counts,0.865637682695374,0.85533114138093,0.3089675661312778,0.09550691753432285,0.8285738121518599,1
ola_mES_2i_2_56.counts,0.9129693872568425,0.7767339909190544,0.3631566919954877,0.05465425569113522,0.579263675334343,1
ola_mES_2i_2_57.counts,0.884802415907934,0.8172851103804603,0.3163387048648955,0.08313388632331656,0.6096609723541341,1
ola_mES_2i_2_58.counts,0.9153247634640993,0.8370126820103335,0.328416586489661,0.06813534933049471,0.5598656852427035,1
ola_mES_2i_2_59.counts,0.9165869728778157,0.8124315014873963,0.39936717484444306,0.05312398188593839,0.5313422491464947,1
ola_mES_2i_2_6.counts,0.8585991338232029,0.7876937529356506,0.30929021326348405,0.10021181434709317,0.45468240624278056,1
ola_mES_2i_2_60.counts,0.9162139252347737,0.8522780648191639,0.3821739068757837,0.05983091404100858,0.538412544600457,1
ola_mES_2i_2_61.counts,0.9106907530231156,0.7853452325035227,0.308872510037573,0.0770375382092904,0.5154384962907821,1
ola_mES_2i_2_62.counts,0.8611090321065927,0.7869891968060122,0.3167043143951093,0.10161326146539795,0.5433875811792489,1
ola_mES_2i_2_63.counts,0.9097485827663258,0.7696101456082668,0.2926441436732206,0.0657403254570895,0.47122628795851834,1
ola_mES_2i_2_64.counts,0.9024957970904407,0.7476906215750744,0.3158099359724373,0.07184803075877015,0.4037512513797264,1
ola_mES_2i_2_65.counts,0.4526229384821423,0.23633943948645686,0.0,0.0,0.0,0
ola_mES_2i_2_66.counts,0.9125882745204598,0.7389228119617974,0.3294565650036936,0.05835293178619468,0.45458935492979435,1
ola_mES_2i_2_67.counts,0.9075739410928525,0.8269140441521842,0.36476627990574495,0.06276601041765544,0.48586582642400594,1
ola_mES_2i_2_68.counts,0.9064020091195287,0.7944261781744167,0.33580143409056745,0.07580109666794287,0.3793349077187669,1
ola_mES_2i_2_69.counts,0.8897412516700284,0.8200250508846093,0.37979066202027456,0.0792944295885136,0.49762719151885415,1
ola_mES_2i_2_7.counts,0.8920750900147733,0.8146234538907156,0.34211458205061046,0.12106916825664185,0.7440286726390636,1
ola_mES_2i_2_70.counts,0.3784402858957789,0.15210583998747457,0.37909257073566904,0.11617108736027068,0.0,0
ola_mES_2i_2_71.counts,0.9034908444093407,0.7462032253013935,0.32707895866490416,0.05269604529298653,0.451507431270375,0
ola_mES_2i_2_72.counts,0.8985559224300214,0.851416940660717,0.30722856651381475,0.06983730502328968,0.5310999948661344,1
ola_mES_2i_2_73.counts,0.8685933712060985,0.8380303741975889,0.2889589736516762,0.08221212652988684,0.3678398618990169,1
ola_mES_2i_2_74.counts,0.8927257533868467,0.7130108031939878,0.38368463597175784,0.0759252051799965,0.3455460507739302,1
ola_mES_2i_2_75.counts,0.8835308295722697,0.8278534523250353,0.32059673864855126,0.1078958749165228,0.5950888158739123,1
ola_mES_2i_2_76.counts,0.9149101581035852,0.7586503835916706,0.3218092462376013,0.06888533399176426,0.31851945735041204,1
ola_mES_2i_2_77.counts,0.028660625234539112,0.2209174886488179,0.6578387720383452,0.7187162909252715,0.037862258387452837,0
ola_mES_2i_2_78.counts,0.9042068146607236,0.812040081415375,0.3075002762634777,0.09219099171745852,0.5146764381240855,0
